Skills,Degree,Experience,Career
python deep learning tensorflow pytorch machine learning docker,M.Tech AI,1,ML Engineer
python django flask postgresql rest api,B.Tech CSE,1,Backend Developer
digital marketing media seo analytics,BA,3,Cloud Engineer
penetration testing networking linux,B.Tech Cybersecurity,2,Cybersecurity Analyst
excel power bi sql data analysis reporting python,B.Com,2,Data Analyst
python tensorflow pytorch scikit-learn mlops linux,B.Tech CSE,7,ML Engineer
python django flask postgresql rest api,B.Tech Computer Science,3,Full Stack Developer
react node.js express mongodb javascript sql,B.Tech Computer Science,5,Full Stack Developer
content writing seo digital marketing,BA,2,Data Engineer
python tensorflow pytorch scikit-learn mlops,M.Tech Computer Science,2,ML Engineer
kubernetes docker aws terraform jenkins sql,B.Tech IT,2,DevOps Engineer
python nlp spacy transformers bert linux,B.Tech CSE,3,NLP Engineer
java android firebase mobile python,B.Tech CSE,1,Android Developer
python langchain llm openai huggingface,B.Tech CSE,3,AI Engineer
java python sql algorithms,B.Tech CSE,7,Software Engineer
aws docker kubernetes ci/cd linux terraform jenkins,B.Tech IT,4,DevOps Engineer
scrum agile jira project management communication,MBA,4,AI Engineer
javascript react node.js postgresql sql git,B.Tech CSE,6,Full Stack Developer
react node.js express mongodb javascript sql,B.Tech IT,2,Full Stack Developer
agile scrum jira project management leadership linux,B.Tech CSE,2,Cybersecurity Analyst
kotlin android jetpack firebase mobile sql,B.Tech Computer Science,2,Android Developer
aws terraform kubernetes docker jenkins,B.Tech IT,7,DevOps Engineer
javascript react node.js postgresql sql,B.Tech IT,1,Full Stack Developer
ios swift xcode swiftui mobile,B.Tech CSE,6,Android Developer
figma ui ux adobe xd prototyping wireframing,B.Sc Design,4,UI/UX Designer
python c++ java algorithms git linux,B.Tech CSE,1,Software Engineer
project management agile leadership communication,PGDM,3,Project Manager
python deep learning pytorch tensorflow docker,M.Tech AI,3,ML Engineer
adobe xd figma ui ux prototyping,B.Sc Design,1,UI/UX Designer
aws azure cloud computing docker kubernetes,B.Tech CSE,4,Cloud Engineer
aws azure gcp terraform cloud computing docker,B.Tech Computer Science,6,Cloud Engineer
python nlp transformers spacy bert huggingface,M.Tech Computational Linguistics,1,NLP Engineer
docker kubernetes linux ansible jenkins aws,B.Tech IT,1,DevOps Engineer
java python sql git oop algorithms,B.Tech Computer Science,4,Software Engineer
swiftui swift ios xcode mobile,B.Tech Computer Science,5,iOS Developer
python gen ai llm langchain transformers,M.Tech AI,1,AI Engineer
python nlp spacy bert,M.Tech Computational Linguistics,6,NLP Engineer
python machine learning pandas numpy scikit-learn statistics sql,B.Tech CSE,6,Data Scientist
power bi excel sql python data visualization,B.Sc Statistics,4,Data Analyst
java python sql git algorithms data structures,B.Tech CSE,2,Software Engineer
linux docker kubernetes jenkins terraform,B.Tech IT,5,DevOps Engineer
ui ux figma adobe xd prototyping,B.Sc Design,5,UI/UX Designer
python spark kafka airflow sql etl,B.Tech IT,2,Data Engineer
spark python sql etl,B.Tech IT,5,Frontend Developer
ethical hacking cybersecurity networking python linux,B.Tech Cybersecurity,7,UI/UX Designer
terraform kubernetes docker jenkins sql,B.Tech Computer Science,2,DevOps Engineer
linux networking cybersecurity python,B.Tech Cybersecurity,1,Cybersecurity Analyst
aws azure gcp terraform cloud computing docker,B.Tech CSE,1,Cloud Engineer
kubernetes docker aws terraform jenkins,B.Tech CSE,7,DevOps Engineer
aws azure cloud computing docker kubernetes,B.Tech IT,7,Cloud Engineer
project management agile scrum leadership communication,MBA,1,Project Manager
node.js express typescript postgresql rest api,B.Tech Computer Science,2,Backend Developer
sql excel tableau power bi data analysis statistics,B.Sc Statistics,6,Data Analyst
adobe xd figma ui ux prototyping,BFA,3,UI/UX Designer
terraform aws azure gcp kubernetes,B.Tech IT,5,Cloud Engineer
aws azure gcp terraform cloud computing docker,B.Tech IT,4,Cloud Engineer
sql python spark etl airflow data engineering,M.Tech Data Engineering,6,Data Engineer
aws terraform docker kubernetes azure,B.Tech CSE,7,Cloud Engineer
java kotlin android jetpack firebase mobile,B.Tech Computer Science,4,Android Developer
python tensorflow keras machine learning,B.Tech CSE,2,ML Engineer
html css javascript react redux,B.Tech CSE,3,Frontend Developer
python nlp transformers spacy bert huggingface,B.Tech CSE,6,ML Engineer
python pytorch tensorflow keras machine learning mlops javascript,M.Tech Computer Science,5,Cloud Engineer
ethical hacking cybersecurity networking python,B.Tech CSE,2,Cybersecurity Analyst
python gen ai llm langchain transformers,B.Tech CSE,6,AI Engineer
python langchain openai huggingface llm rag python,M.Tech AI,2,AI Engineer
swift ios uikit xcode,B.Tech Computer Science,7,iOS Developer
python langchain openai huggingface llm rag,B.Tech CSE,7,AI Engineer
digital marketing seo content writing google analytics,BA,6,Digital Marketer
node.js express typescript postgresql rest api,B.Tech IT,4,Backend Developer
ethical cybersecurity python git,B.Tech Information Security,4,Cybersecurity Analyst
python langchain openai huggingface llm rag,B.Tech Computer Science,5,AI Engineer
excel power bi sql data analysis reporting python,B.Sc Statistics,7,Data Scientist
sql spark hadoop etl airflow sql,B.Tech CSE,6,Data Engineer
swift ios uikit xcode,B.Tech CSE,4,iOS Developer
kotlin android jetpack mobile development,B.Tech Computer Science,7,Android Developer
figma ui ux wireframing usability,BFA,2,Project Manager
react javascript typescript html css tailwind,B.Tech CSE,7,Frontend Developer
java python sql git oop algorithms,B.Tech IT,2,Software Engineer
docker kubernetes jenkins,B.Tech CSE,3,DevOps Engineer
seo digital marketing content marketing analytics,BA,5,Digital Marketer
python machine learning statistics pandas sql jupyter,B.Tech Computer Science,6,Data Scientist
sql excel tableau power bi data analysis statistics,B.Tech IT,3,Data Analyst
python gen ai llm langchain huggingface transformers openai,B.Tech Computer Science,6,AI Engineer
agile scrum jira project management leadership,PGDM,5,Project Manager
sql spark hadoop etl airflow,B.Tech IT,1,Data Engineer
sql excel tableau power bi data analysis statistics,B.Com,1,Data Analyst
cybersecurity penetration testing networking linux,B.Tech Information Security,7,Cybersecurity Analyst
python java git sql data structures,B.Tech CSE,5,Software Engineer
transformers nlp bert,M.Sc AI,5,NLP Engineer
digital marketing social media seo analytics sql,BBA Marketing,6,Digital Marketer
java kotlin android jetpack firebase mobile,B.Tech IT,6,Android Developer
react nextjs typescript javascript css,B.Tech CSE,4,Frontend Developer
python machine learning pytorch docker scikit-learn linux,M.Tech Computer Science,3,ML Engineer
project management agile scrum leadership communication,B.Tech CSE,4,Project Manager
python deep learning tensorflow pytorch machine learning docker,M.Tech Computer Science,6,ML Engineer
project management agile kanban leadership,MBA,3,Project Manager
python java git sql data structures,B.Tech Computer Science,3,Software Engineer
figma sketch ux,B.Sc Design,2,UI/UX Designer
gcp kubernetes terraform,B.Tech CSE,6,Cloud Engineer
python spark kafka airflow sql etl,M.Tech Data Engineering,5,Data Engineer
swiftui swift ios xcode mobile,B.Tech CSE,3,iOS Developer
ui ux figma adobe xd prototyping,B.Des Design,3,UI/UX Designer
docker kubernetes linux ansible jenkins aws linux,B.Tech Computer Science,3,DevOps Engineer
cybersecurity linux python networking,B.Tech Information Security,3,AI Engineer
terraform aws azure gcp kubernetes sql,B.Tech CSE,3,Cloud Engineer
ios swift xcode swiftui mobile,B.Tech Computer Science,1,iOS Developer
android kotlin java firebase,B.Tech Computer Science,5,Android Developer
python java flask sql rest api postgresql,B.Tech Computer Science,6,Backend Developer
python machine learning pytorch docker scikit-learn,B.Tech CSE,1,ML Engineer
python machine learning pandas numpy scikit-learn statistics sql,M.Sc Data Science,4,Data Scientist
ios swift xcode swiftui mobile sql,B.Tech IT,3,iOS Developer
react html css tailwind,B.Sc Computer Science,2,Frontend Developer
swift ios xcode swiftui uikit mobile,B.Tech IT,6,iOS Developer
kotlin android jetpack mobile development,B.Tech CSE,4,Android Developer
react node.js python sql javascript,B.Tech CSE,3,Full Stack Developer
figma ui ux adobe xd prototyping wireframing,BFA,6,UI/UX Designer
python spark kafka airflow sql etl,B.Tech CSE,7,Data Engineer
cybersecurity linux python networking,B.Tech Cybersecurity,5,Cybersecurity Analyst
swift ios xcode swiftui uikit mobile,B.Tech Computer Science,4,iOS Developer
python scikit-learn pandas numpy matplotlib sql data science javascript,M.Sc Data Science,2,Data Scientist
kotlin android jetpack mobile development,B.Tech IT,2,Android Developer
nextjs javascript,B.Sc Computer Science,7,Frontend Developer
swift swiftui ios xcode uikit,B.Tech Computer Science,2,iOS Developer
writing seo digital,B.Com,7,Digital Marketer
html css react node.js express sql,B.Tech CSE,4,Full Stack Developer
python transformers bert huggingface nlp,B.Tech CSE,5,NLP Engineer
python pandas numpy scikit-learn sql machine learning python,M.Sc Data Science,5,Data Scientist
python deep learning tensorflow pytorch machine learning docker,B.Tech CSE,4,ML Engineer
python java c++ sql git algorithms data structures,B.Tech CSE,4,Software Engineer
python java c++ sql git algorithms data structures,B.Tech IT,6,Software Engineer
gcp aws terraform python,B.Tech IT,1,Cloud Engineer
python pytorch tensorflow keras machine learning mlops,M.Tech AI,7,ML Engineer
digital marketing seo content writing analytics,B.Com,4,Digital Marketer
digital marketing social media seo analytics,B.Com,1,Cybersecurity Analyst
sql python spark etl airflow data engineering,B.Tech CSE,1,Data Engineer
scrum agile project management communication,B.Tech CSE,7,Project Manager
seo digital marketing content marketing analytics,B.Com,2,Digital Marketer
linux networking cybersecurity python,B.Tech Information Security,6,Cybersecurity Analyst
python java flask sql api postgresql,B.Tech IT,1,Backend Developer
node.js express typescript postgresql rest api,B.Tech CSE,7,Backend Developer
digital marketing seo social media advertising,BBA Marketing,3,Digital Marketer
python gen ai llm langchain transformers,B.Tech Computer Science,3,AI Engineer
digital marketing analytics linux,BBA Marketing,7,Digital Marketer
sql power bi excel tableau data analysis statistics python,B.Tech IT,6,Data Analyst
python scikit-learn pandas numpy matplotlib sql data science javascript,B.Tech Computer Science,7,Data Scientist
python huggingface transformers llm gen ai,M.Tech AI,7,AI Engineer
html css javascript react typescript redux linux,B.Tech IT,6,Frontend Developer
python machine learning pandas numpy scikit-learn statistics sql,B.Tech Computer Science,1,Data Scientist
project agile leadership,B.Tech CSE,5,Project Manager
python spacy transformers nlp,M.Tech Computational Linguistics,3,NLP Engineer
python transformers bert huggingface nlp spacy,M.Sc AI,2,NLP Engineer
scrum agile jira project management communication,PGDM,2,Project Manager
python django flask postgresql rest api,B.Tech IT,6,Cloud Engineer
kotlin android jetpack firebase mobile,B.Tech CSE,7,Android Developer
figma ui ux wireframing usability,B.Sc Design,7,Project Manager
python nlp transformers spacy bert huggingface,M.Sc AI,4,NLP Engineer
aws azure cloud computing docker kubernetes,B.Tech Computer Science,2,Cloud Engineer
python gen ai llm langchain huggingface transformers openai,B.Tech CSE,1,AI Engineer
docker kubernetes linux ansible jenkins aws,B.Tech CSE,6,DevOps Engineer
html css javascript react node.js python sql,B.Tech Computer Science,6,ML Engineer
vue.js javascript html css typescript,B.Tech IT,3,Frontend Developer
sql python excel power bi data analysis,B.Sc Statistics,3,Data Analyst
linux networking cybersecurity python git,B.Tech CSE,3,Cybersecurity Analyst
content writing seo digital marketing,BBA Marketing,4,Digital Marketer
html react node.js express sql,B.Tech Computer Science,2,Full Stack Developer
aws docker kubernetes ci/cd linux terraform jenkins,B.Tech Computer Science,6,DevOps Engineer
cybersecurity penetration testing networking linux javascript,B.Tech CSE,5,Cybersecurity Analyst
aws docker kubernetes azure javascript,B.Tech IT,2,Cloud Engineer
java spring boot sql rest api microservices,B.Tech Computer Science,5,Backend Developer
swift ios uikit xcode,B.Tech IT,2,iOS Developer
excel power bi sql data analysis reporting python,B.Tech IT,5,Data Analyst
python java c++ sql git algorithms data structures python,B.Tech Computer Science,1,Software Engineer
project management agile leadership communication,B.Tech CSE,1,Project Manager
